,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,354,2,7,0,0
Light_T1,179,103,79,4,0
Light_XM,1,117,245,0,0
Sensor,9,337,16,0,0
Socket,0,0,0,0,363
