,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,606,7,59,123,2
Light_T1,1,308,426,55,0
Light_XM,0,148,613,28,0
Sensor,0,99,460,245,0
Socket,0,0,0,0,801
