,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,361,2,2,0,0
Light_T1,1,30,227,105,0
Light_XM,7,67,294,1,0
Sensor,21,258,75,9,1
Socket,0,0,0,0,376
