,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,0,0
Light_T1,1,105,2,2,0
Light_XM,1,7,100,2,0
Sensor,0,8,3,98,0
Socket,0,0,0,0,110
