,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,283,4,30,39,6
Light_T1,2,170,72,119,0
Light_XM,3,83,173,106,0
Sensor,2,73,38,250,0
Socket,0,0,0,0,363
