,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,1,2,0
Light_T1,0,86,25,7,0
Light_XM,0,20,89,10,0
Sensor,0,4,3,115,0
Socket,0,0,0,0,118
