,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,636,11,76,71,3
Light_T1,1,246,497,46,0
Light_XM,0,124,637,28,0
Sensor,0,84,448,272,0
Socket,0,0,0,0,801
