,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,709,19,35,34,0
Light_T1,5,520,211,54,0
Light_XM,1,129,611,48,0
Sensor,7,124,157,516,0
Socket,0,0,0,0,801
