,precision,recall,f1-score,support
Camera,0.9155313351498637,0.9256198347107438,0.9205479452054794,363.0
Light_T1,0.33513513513513515,0.5095890410958904,0.4043478260869565,365.0
Light_XM,0.6314432989690721,0.6749311294765841,0.6524633821571239,363.0
Sensor,0.6713286713286714,0.26519337016574585,0.3801980198019802,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.6751101321585903,0.6751101321585903,0.6751101321585903,0.6751101321585903
macro avg,0.7106876881165485,0.6750666750897928,0.6715114346503079,1816.0
weighted avg,0.7102957574507033,0.6751101321585903,0.6713776164772473,1816.0
