,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,333,13,44,9,0
Light_T1,4,206,160,24,0
Light_XM,1,57,313,24,0
Sensor,8,45,109,243,0
Socket,0,0,0,0,395
