,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,331,2,0,2,0
Light_T1,0,303,8,16,0
Light_XM,2,27,292,10,0
Sensor,1,13,16,297,0
Socket,0,0,0,0,332
