,precision,recall,f1-score,support
Camera,0.9910714285714286,0.9940298507462687,0.992548435171386,335.0
Light_T1,0.8970588235294118,0.9327217125382263,0.9145427286356822,327.0
Light_XM,0.940625,0.9093655589123867,0.9247311827956989,331.0
Sensor,0.9320987654320988,0.9235474006116208,0.9278033794162827,327.0
Socket,1.0,1.0,1.0,332.0
accuracy,0.9521791767554479,0.9521791767554479,0.9521791767554479,0.9521791767554479
macro avg,0.9521708035065879,0.9519329045617007,0.95192514520381,1652.0
weighted avg,0.9524759898074107,0.9521791767554479,0.9522015282208132,1652.0
