,precision,recall,f1-score,support
Camera,0.5079787234042553,0.9794871794871794,0.6690017513134852,390.0
Light_T1,0.7428571428571429,0.07123287671232877,0.13,365.0
Light_XM,0.8931623931623932,0.5679347826086957,0.6943521594684385,368.0
Sensor,0.6142241379310345,0.787292817679558,0.6900726392251816,362.0
Socket,1.0,1.0,1.0,368.0
accuracy,0.6853750674581759,0.6853750674581759,0.6853750674581759,0.6853750674581759
macro avg,0.7516444794709651,0.6811895312975524,0.636685310001421,1853.0
weighted avg,0.7492107166137678,0.6853750674581759,0.6377164452758556,1853.0
