,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,0,0
Light_T1,0,102,3,5,0
Light_XM,1,8,92,9,0
Sensor,1,8,4,95,1
Socket,0,0,0,0,110
