,precision,recall,f1-score,support
Camera,0.9766355140186916,0.5757575757575758,0.7244367417677643,363.0
Light_T1,0.28252299605781866,0.589041095890411,0.38188277087033745,365.0
Light_XM,0.524731182795699,0.6721763085399449,0.5893719806763285,363.0
Sensor,0.0,0.0,0.0,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.5677312775330396,0.5677312775330396,0.5677312775330396,0.5677312775330396
macro avg,0.5567779385744418,0.5673949960375864,0.5391382986628861,1816.0
weighted avg,0.556782491467361,0.5677312775330396,0.5392619920786778,1816.0
