,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,355,3,5,0,0
Light_T1,193,107,65,0,0
Light_XM,2,110,251,0,0
Sensor,11,314,37,0,0
Socket,0,0,0,0,363
