,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,359,12,3,16,0
Light_T1,0,270,14,81,0
Light_XM,0,297,7,64,0
Sensor,1,39,5,317,0
Socket,0,0,0,0,368
