,precision,recall,f1-score,support
Camera,1.0,0.005025125628140704,0.01,398.0
Light_T1,0.0,0.0,0.0,396.0
Light_XM,0.3509286412512219,0.9111675126903553,0.5067043048694425,394.0
Sensor,0.4697508896797153,0.6616541353383458,0.5494276795005203,399.0
Socket,1.0,1.0,1.0,406.0
accuracy,0.5173105870546915,0.5173105870546915,0.5173105870546915,0.5173105870546915
macro avg,0.5641359061861875,0.5155693547313683,0.41322639687399254,1993.0
weighted avg,0.5668321573683832,0.5173105870546915,0.4158771401100191,1993.0
